designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 661248045291499776,661248045291499776,130.4333919704205,19.573608769566732,1.7140014152044518,0.7427687856872431,-3.8040793616250648,1.0471454,19.621912,20.781878,18.521755,2.2601223,1.1599655,1.1001568,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248083949240320,661248083949240320,130.45431280414041,19.57819732988583,3.923590754524951,-12.520689423279585,-6.354631233195873,1.0597388,17.33265,18.774689,16.157393,2.6172962,1.4420395,1.1752567,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3385.245,4.6442,-0.6303,244.2409,0.7049,0.4586,0.2895
Gaia DR3 661248083950816896,661248083950816896,130.45149905815484,19.58634599046372,1.1297305434989122,-4.055865379681228,-8.650694557777454,1.4807018,19.869463,20.465937,18.560368,1.9055691,0.5964737,1.3090954,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248114011004800,661248114011004800,130.45678509717396,19.592770979071446,1.4164491551126916,2.790767639818843,-12.730121153647557,1.0217539,18.259037,19.209877,17.287308,1.9225693,0.95084,0.9717293,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3666.1394,4.4994,-1.0268,714.9304,0.1314,0.0926,0.0505
Gaia DR3 661248118306652672,661248118306652672,130.45902238343376,19.59560172032679,1.4204450104042596,-1.2784702219723592,-1.301567080725781,1.0136143,20.499334,21.303764,19.377947,1.9258175,0.80443,1.1213875,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248118308977024,661248118308977024,130.4645679274178,19.591495054601047,1.2214019104106164,-1.2393724306296359,-16.562901483313325,1.009707,13.942906,14.242923,13.481773,0.7611494,0.3000164,0.461133,-11.68382,2.9189947,26,15,,967.88257,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5820.4263,4.3468,-0.2896,740.9565,0.0025,0.0021,0.0012
Gaia DR3 661248118308977792,661248118308977792,130.46409218170595,19.58407690769881,0.22430472518208533,-0.8369075010215261,-6.233909412050929,1.0077573,18.383383,18.88189,17.768677,1.1132126,0.49850655,0.61470604,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4825.8276,4.8641,-1.7093,1611.0012,0.0035,0.0028,0.0015
Gaia DR3 661248118308978048,661248118308978048,130.46136317546714,19.582489665461864,0.6807283689751396,-3.0699474587054434,-14.532796886715278,1.023608,15.123671,15.448998,14.6317005,0.81729794,0.32532787,0.49197006,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5618.103,4.3987,-0.4866,1160.075,0.0021,0.0018,0.001
Gaia DR3 661248182730492928,661248182730492928,130.45394649671758,19.604947615942624,0.6761357385457326,-0.5158681716431517,-3.5132768972147876,1.0020483,19.28952,20.0341,18.420826,1.6132736,0.7445793,0.8686943,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248217090202112,661248217090202112,130.40692546110338,19.581331066454986,-0.021945825992284895,-7.723421687876982,1.179534446660904,0.9855554,20.168257,21.228645,19.125978,2.1026669,1.0603886,1.0422783,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248251450344960,661248251450344960,130.4193796700344,19.589235099973276,0.6153190877499799,-4.252423199620127,-2.9360303539165686,0.95037323,20.230206,20.822943,19.344158,1.4787846,0.5927372,0.88604736,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248354529171072,661248354529171072,130.42989891559955,19.591294666570885,3.6817351426695333,-33.90704896643877,-23.54792540464715,0.94851017,19.202766,20.95479,17.927877,3.0269127,1.7520237,1.274889,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248354529177088,661248354529177088,130.42365539567268,19.596215566345045,1.1165966270162953,1.1819043094976158,-4.20093063569651,1.0205667,19.429325,20.320517,18.429403,1.8911133,0.8911915,0.9999218,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248354531637888,661248354531637888,130.43219403954532,19.603321200874177,1.520065867715713,-4.178918089792054,1.0867985537554448,1.0052543,20.154243,21.235638,19.118895,2.116743,1.0813942,1.0353489,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248354531643520,661248354531643520,130.4361610098452,19.60385736379951,,,,,20.910376,21.149067,19.970144,1.1789227,0.23869133,0.9402313,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248393186134144,661248393186134144,130.4455822676873,19.610399320563637,,,,,21.082968,21.469257,19.97927,1.4899864,0.3862896,1.1036968,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248461906360320,661248461906360320,130.43800325328118,19.617733263042503,0.527837209392126,3.3826627121332056,-6.946777704739082,0.97637326,16.661354,17.12166,16.038841,1.082819,0.46030617,0.6225128,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4967.68,4.6306,0.1461,1300.3447,0.0035,0.0028,0.0015
Gaia DR3 661248491968076800,661248491968076800,130.5161640753195,19.557202764084337,0.049633680265468695,-0.19924598103794877,-6.539244956171224,1.0220842,19.794125,20.871096,18.776386,2.0947094,1.076971,1.0177383,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248766848575872,661248766848575872,130.49205006700174,19.579217501336252,1.5778860250957851,-1.51171597197778,-9.542124520848711,1.1481907,20.893322,21.3717,19.762703,1.6089973,0.4783783,1.130619,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248869925257984,661248869925257984,130.50243999237833,19.60285003932372,1.007866727107134,-1.9908802698318184,-16.326315657652714,0.9254075,19.99602,20.623962,19.37253,1.2514324,0.62794304,0.6234894,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248904284994560,661248904284994560,130.51268813197294,19.60046478317424,-0.12973296332811268,0.3006121554695697,0.07350757396432195,0.9224897,18.956863,19.22788,18.607029,0.6208515,0.27101707,0.34983444,,,,,,,VARIABLE,0,false,false,false,true,false,true,false,6220.4297,4.6892,-2.4598,5405.8843,0.0027,0.0023,0.0013
