source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3017361005316899968,83.82004674714204,-5.41075187442728,,,,,20.38752,0.52750015,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316901120,83.81950110564217,-5.408771192372618,,,,,19.689854,1.0157585,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316903296,83.81982507284727,-5.411144568540688,,,,,20.00078,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316937216,83.8157609220254,-5.406854526392158,2.578964107503093,3.5555809712385322,1.7184863201027525,1.4672865,16.837124,0.71439934,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005316956288,83.8151633053965,-5.4073000808276825,,,,,20.465582,0.7254667,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316956416,83.81674836036834,-5.40649061617031,,,,,19.888906,0.8119755,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316968576,83.82516891560755,-5.400855394499222,,,,,17.593992,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316978176,83.82633449812424,-5.405319026839221,,,,,19.564598,0.5190687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316981120,83.82660096762943,-5.407430454934524,3.9961871025610067,2.1290180345020646,-2.6426049023344635,3.1935418,16.908754,0.65039635,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
3017361005316981248,83.82195779698232,-5.406724887834747,2.9023347503196675,0.3454822625025296,-0.6100588600971667,0.8887963,16.644169,0.589015,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005316981888,83.82247009627778,-5.403868516995628,2.427896099237991,-0.09835666536540959,-1.0999798967521974,1.1611385,17.553223,0.6446848,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361005316983040,83.82425212875138,-5.408500621147814,2.288486526222966,1.4647336974120844,-2.5559847489156207,0.7406628,17.212828,0.6063509,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
