source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,has_epoch_photometry,teff_gspphot,mh_gspphot
6083716656782135680,201.3567232252126,-47.433807045201206,-0.04062707926468741,-1.9081571790306093,-5.652964753365066,1.1216234,19.93184,20.438967,19.293558,1.1454086,0.50712585,0.6382828,,false,,
6083716656782146176,201.3523859474235,-47.43318977501293,-0.12893065460150097,-2.3674160013327876,-6.457963335912892,1.0658679,18.701244,,,,,,,false,,
6083517335919408000,202.08681049124186,-47.46085318510333,0.18975997072952874,-3.1158953986851063,-6.458158029766828,0.97990626,19.441349,19.946396,18.97552,0.9708767,0.50504684,0.46582985,,false,,
6083517335919410816,202.0839917426027,-47.4603495424063,0.23427316055063446,-3.6077386185698153,-6.673493923686378,0.9700573,19.323317,,,,,,,false,,
6083517335919411072,202.08974584751877,-47.46028881650317,0.1494465976620846,-3.049878639579269,-6.479849893866608,0.9580661,19.73341,20.257156,19.190264,1.0668926,0.5237465,0.54314613,,false,,
6083517335919411584,202.08190174275586,-47.45978315598189,5.251436110778133,-5.58276282697539,-0.16334164825284525,2.9791696,20.167648,,,,,,,false,,
6083517335919417472,202.09581814143564,-47.459546516224314,-0.021467085383548495,-3.5385093074329106,-6.504081013244239,0.95367694,19.755533,20.296211,19.292664,1.0035477,0.540678,0.46286964,,false,,
6083518297992330112,202.12065486638855,-47.40501821215207,0.8143776441249664,-3.878556644307134,-6.9139251770535335,1.06246,19.468933,19.91664,18.97851,0.9381294,0.44770622,0.4904232,,false,,
6083726483674883584,201.65205347351346,-47.19710294646094,1.3572937122055002,-2.2841516589837374,-7.485434983189247,1.0558383,20.126389,,,,,,,false,,
6083445592786021888,202.11652666872092,-47.92218402709271,-0.18990452530017404,-2.740287038579222,-8.20622213665095,1.0074164,20.15939,20.418104,19.828972,0.5891323,0.25871468,0.33041763,,false,,
6083445592790958720,202.126122434709,-47.92576552406895,0.02639202655864854,-2.446579481896144,-6.830876124916295,0.8847899,20.402828,20.98284,19.703262,1.2795773,0.58001137,0.6995659,,false,,
6083446451774321792,202.1859505821476,-47.8983535875155,0.027373804384843697,-3.600396440681055,-6.606084030609695,1.1015322,19.838505,,,,,,,false,,
6083446451774327552,202.19045611782445,-47.89536176227702,,,,,20.898817,,,,,,,false,,
